1	1	1	3091	2874
2	21	1	4825	3440
3	11	3	2528	4802
4	2	1	4258	4017
5	31	3	3781	4404
6	12	3	4093	4492
7	3	1	3308	3801
8	32	3	5343	4320
9	13	3	4259	4647
10	22	1	4459	2616
11	33	3	2919	4636
12	4	1	5799	4049
13	23	1	3409	5518
14	14	3	2842	4793
15	34	3	5341	2027
16	24	1	2140	2679
17	15	3	5550	3414
18	5	1	2096	2584
19	25	1	5805	2409
20	35	3	5767	5222
21	6	1	3123	5134
22	26	1	2779	4380
23	16	3	4724	2113
24	7	1	4464	2940
25	36	3	3481	5904
26	27	1	4144	3326
27	17	3	3790	3215
28	37	3	2697	5356
29	8	1	3705	5536
30	18	3	4546	3177
31	28	1	3130	5159
32	38	3	4166	5269
33	19	3	3594	4084
34	9	1	5229	2431
35	39	3	2523	3893
36	29	1	2577	5902
37	10	1	4212	4287
38	20	3	3694	2608
39	40	3	4597	3788
40	30	1	2733	5087
